Plant Name,Scientific Name,Image URL,Page URL
Field pumpkin,Cucurbita pepo,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/317734576692756480.jpeg,https://www.picturethisai.com/wiki/Cucurbita_pepo.html
Flamingo flower,Anthurium andraeanum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201164237943406592.jpeg,https://www.picturethisai.com/wiki/Anthurium_andraeanum.html
False christmas cactus,Schlumbergera truncata,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/202656794913538048.jpeg,https://www.picturethisai.com/wiki/Schlumbergera_truncata.html
Fiddle-leaf fig,Ficus lyrata,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154144580999053326.jpeg,https://www.picturethisai.com/wiki/Ficus_lyrata.html
Fringed willowherb,Epilobium ciliatum,,https://www.picturethisai.com/wiki/Epilobium_ciliatum.html
Four o'clock flower,Mirabilis jalapa,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154028612587094040.jpeg,https://www.picturethisai.com/wiki/Mirabilis_jalapa.html
Flowering dogwood,Cornus florida,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154047257040125977.jpeg,https://www.picturethisai.com/wiki/Cornus_florida.html
Field bindweed,Convolvulus arvensis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201175439218147328.jpeg,https://www.picturethisai.com/wiki/Convolvulus_arvensis.html
False shamrock,Oxalis triangularis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153935974437486623.jpeg,https://www.picturethisai.com/wiki/Oxalis_triangularis.html
Golden pothos,Epipremnum aureum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153861190466928663.jpeg,https://www.picturethisai.com/wiki/Epipremnum_aureum.html
Garden petunia,Petunia atkinsiana,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153462084925915168.jpeg,https://www.picturethisai.com/wiki/Petunia_atkinsiana.html
Garden dahlia,Dahlia pinnata,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154057612206276631.jpeg,https://www.picturethisai.com/wiki/Dahlia_pinnata.html
Garden croton,Codiaeum variegatum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201175005426450432.jpeg,https://www.picturethisai.com/wiki/Codiaeum_variegatum.html
Garden mum,Chrysanthemum × morifolium,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201173493597962240.jpeg,https://www.picturethisai.com/wiki/Chrysanthemum_×_morifolium.html
Garden phlox,Phlox paniculata,,https://www.picturethisai.com/wiki/Phlox_paniculata.html
Green ash,Fraxinus pennsylvanica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/237899071756566528.jpeg,https://www.picturethisai.com/wiki/Fraxinus_pennsylvanica.html
Garden cosmos,Cosmos bipinnatus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154184588619415583.jpeg,https://www.picturethisai.com/wiki/Cosmos_bipinnatus.html
Ghost plant,Graptopetalum paraguayense,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154147789339623453.jpeg,https://www.picturethisai.com/wiki/Graptopetalum_paraguayense.html
Garden snapdragon,Antirrhinum majus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/393491859855376384.jpeg,https://www.picturethisai.com/wiki/Antirrhinum_majus.html
Horseweed,Erigeron canadensis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153461895947354149.jpeg,https://www.picturethisai.com/wiki/Erigeron_canadensis.html
Heartleaf philodendron,Philodendron hederaceum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201221120490340352.jpeg,https://www.picturethisai.com/wiki/Philodendron_hederaceum.html
Heart of jesus,Caladium bicolor,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154122277233885212.jpeg,https://www.picturethisai.com/wiki/Caladium_bicolor.html
Hardy fuchsia,Fuchsia magellanica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/348127380187283456.jpeg,https://www.picturethisai.com/wiki/Fuchsia_magellanica.html
Honey locust,Gleditsia triacanthos,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/347099555858644992.jpeg,https://www.picturethisai.com/wiki/Gleditsia_triacanthos.html
Heavenly bamboo,Nandina domestica,,https://www.picturethisai.com/wiki/Nandina_domestica.html
Highbush blueberry,Vaccinium corymbosum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/214257325487718400.jpeg,https://www.picturethisai.com/wiki/Vaccinium_corymbosum.html
Hedge bindweed,Calystegia sepium,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154235479686905857.jpeg,https://www.picturethisai.com/wiki/Calystegia_sepium.html
Horse Chestnut,Aesculus hippocastanum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153404669803102231.jpeg,https://www.picturethisai.com/wiki/Aesculus_hippocastanum.html
Hairy crabgrass,Digitaria sanguinalis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/202701239235117056.jpeg,https://www.picturethisai.com/wiki/Digitaria_sanguinalis.html
Indian Laurel,Ficus microcarpa,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154245435421097989.jpeg,https://www.picturethisai.com/wiki/Ficus_microcarpa.html
Indian shot,Canna indica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154076621731528708.jpeg,https://www.picturethisai.com/wiki/Canna_indica.html
Jade plant,Crassula ovata,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154223947699716110.jpeg,https://www.picturethisai.com/wiki/Crassula_ovata.html
Japanese maple,Acer palmatum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/347099938110734336.jpeg,https://www.picturethisai.com/wiki/Acer_palmatum.html
Japanese meadowsweet,Spiraea japonica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/202658835023003648.jpeg,https://www.picturethisai.com/wiki/Spiraea_japonica.html
Japanese cherry,Prunus serrulata,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153446429770121227.jpeg,https://www.picturethisai.com/wiki/Prunus_serrulata.html
Japanese camellia,Camellia japonica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/348098389158035456.jpeg,https://www.picturethisai.com/wiki/Camellia_japonica.html
Japanese barberry,Berberis thunbergii,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201167948795183104.jpeg,https://www.picturethisai.com/wiki/Berberis_thunbergii.html
Japanese honeysuckle,Lonicera japonica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154138791383138312.jpeg,https://www.picturethisai.com/wiki/Lonicera_japonica.html
Johnny jump up,Viola tricolor,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154040007135330320.jpeg,https://www.picturethisai.com/wiki/Viola_tricolor.html
